FinalWgt,CR1,CR2,AER3,AER4,OR1,AER6,AER7,AER8,CR5,CR6,CR7,CR8,CR9,CR10,CR11,CR12,CR13,CR14,CR15,CR16,CR17,CR18,CR19,CR20,CR21,CR22,OR60,CR23,CR24,CR25,AER31,CR27,CR28,AER34,CR30,CR31,CR32,CR33,OR57,CR34,CR35,CR36,CR37,CR38,CR39,CR40,CR41,CR42,CR43,OR45,OR46,AER52,OR48,OR50,OR54,OR55,AER57,AER58,AER59,AER60,AER61,AER62,AER63,AER64,AER65,AER66,AER67,AER68,AER69,AER70,AER71,Stratum,PSU
48.87673965,3,1,2,3,3,5,5,5,2,1,1,1,,,1,1,1,1,2,1,1,1,1,2,2,1,3,3,1,1,1,1,1,7,1,2,1,1,2,1,3,2,2,2,1,1,4,2,4,1,3,1,1,1,3,1,2,1,1,1,1,1,3,1,1,1,1,1,3,2,4,201301001,1
48.87673965,3,1,2,5,1,6,6,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,5,2,3,2,3,4,1,1,1,1,1,4,1,3,1,2,2,2,3,2,2,2,1,1,2,3,5,3,1,1,3,1,1,1,2,1,1,1,1,1,3,1,1,1,3,2,3,3,4,201301001,1
48.87673965,4,1,2,1,1,5,3,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,3,3,1,1,1,1,1,8,2,1,3,2,2,3,3,3,2,2,1,1,3,3,5,1,1,1,3,1,1,1,1,1,1,1,1,1,4,1,1,1,3,1,3,3,5,201301001,1
48.87673965,4,1,2,1,1,5,5,5,2,1,1,1,2,2,,1,2,2,1,1,1,1,1,,5,2,3,4,1,1,1,1,1,8,1,2,3,2,2,2,3,3,2,2,1,1,3,2,5,1,1,1,2,1,1,1,2,1,1,1,1,1,4,1,1,1,3,1,3,2,5,201301001,1
48.87673965,4,1,2,1,1,5,5,5,2,1,1,1,2,2,1,1,2,2,1,1,3,1,1,2,1,2,4,4,1,1,1,1,1,2,1,1,1,1,2,2,3,2,2,1,1,1,4,1,5,1,2,1,2,1,1,1,2,1,1,1,1,1,4,1,1,1,3,1,1,1,5,201301001,1
48.87673965,4,1,2,1,1,6,6,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,8,2,1,3,2,2,2,3,3,2,2,1,1,3,2,4,3,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,3,1,1,2,4,201301001,1
48.87673965,4,1,2,1,3,5,5,5,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,5,2,3,4,1,1,1,1,1,8,1,3,3,2,2,2,3,2,2,2,1,1,3,3,5,3,2,1,2,1,1,1,2,1,1,1,1,1,4,1,1,1,3,1,3,3,5,201301001,1
48.87673965,4,1,2,1,3,5,6,5,2,1,1,1,2,2,2,1,2,2,1,1,1,1,2,1,5,2,4,4,2,2,1,1,1,8,1,1,3,3,2,3,3,3,2,2,1,1,4,3,5,1,1,1,2,1,1,2,2,1,1,1,1,1,4,1,1,1,3,1,3,3,3,201301001,1
48.87673965,4,1,2,1,3,5,6,7,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,2,2,3,3,2,2,1,1,1,8,1,3,3,2,3,2,,3,2,2,1,1,3,3,5,5,1,1,3,3,1,1,2,1,1,1,1,1,3,1,1,1,3,1,3,3,5,201301001,1
48.87673965,4,1,2,1,3,6,5,5,2,1,1,1,2,2,,1,2,2,1,1,1,1,5,2,2,2,4,3,1,1,1,1,1,8,1,2,3,2,2,2,3,3,2,2,1,1,3,3,5,3,1,1,2,1,1,1,2,1,1,1,1,1,3,1,1,1,3,1,4,3,5,201301001,1
48.87673965,4,1,2,2,1,5,4,5,1,5,1,1,1,2,2,2,1,2,2,3,3,5,1,1,1,2,4,4,1,1,1,1,1,7,1,2,3,2,2,1,3,2,2,2,2,3,4,3,4,1,2,4,2,1,2,1,1,5,1,1,2,2,4,1,1,1,3,2,3,3,4,201301001,1
48.87673965,4,1,2,2,1,,,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,3,2,3,1,1,1,1,1,1,8,1,2,1,1,1,3,2,3,2,2,1,1,3,3,5,1,2,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,3,5,201301001,1
48.87673965,4,1,2,2,3,4,5,5,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,2,2,3,4,1,1,1,1,1,5,1,2,3,1,3,2,2,2,2,2,1,2,3,2,5,1,2,5,2,3,1,1,2,1,1,1,1,1,4,1,1,1,1,1,4,2,4,201301001,1
48.87673965,4,1,2,2,3,5,5,5,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,3,4,1,2,1,1,1,8,2,3,3,1,1,2,2,2,2,2,1,3,4,3,5,1,1,1,1,3,1,2,2,4,1,1,1,1,4,1,1,1,3,1,3,1,5,201301001,1
48.87673965,4,1,2,2,3,5,5,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,3,4,1,1,1,1,1,8,2,3,3,3,2,3,3,3,2,2,1,1,4,1,5,1,1,1,3,1,1,1,2,1,1,1,1,1,4,1,1,1,3,1,3,1,5,201301001,1
48.87673965,4,1,2,2,3,5,5,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,4,3,1,1,1,1,1,8,2,1,3,1,1,2,3,3,2,2,1,1,3,2,5,1,1,1,3,1,1,2,2,1,1,1,1,1,3,1,1,1,3,1,3,3,5,201301001,1
48.87673965,4,1,2,3,1,,6,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,4,1,1,1,1,1,8,1,2,3,3,3,2,3,3,2,2,1,1,1,2,5,1,1,1,2,3,1,1,2,1,1,1,1,1,4,1,1,1,3,1,4,2,5,201301001,1
48.87673965,4,1,2,3,1,5,4,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,3,4,1,1,1,1,1,8,2,1,3,2,2,3,3,3,2,2,1,1,3,2,4,1,1,1,2,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,2,4,201301001,1
48.87673965,4,1,2,4,1,5,5,5,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,2,2,3,4,1,1,1,1,1,8,1,1,1,1,2,2,2,2,2,2,1,1,4,2,5,1,1,1,2,1,1,1,2,1,1,1,1,1,4,1,1,1,3,1,4,2,5,201301001,1
48.87673965,4,1,2,4,1,5,5,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,3,2,3,4,1,1,1,1,1,8,1,2,2,1,1,2,3,3,2,2,1,1,3,1,5,1,1,1,2,1,1,1,2,1,1,1,1,1,4,1,1,1,1,1,4,1,5,201301001,1
48.87673965,5,1,2,2,3,5,5,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,4,1,1,1,1,1,8,2,3,3,3,2,3,3,3,2,2,1,1,1,3,5,1,1,1,2,1,1,2,2,1,1,1,1,1,4,1,1,1,3,1,1,3,5,201301001,1
50.68314798,1,1,1,4,1,5,5,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,5,5,2,4,4,1,1,1,1,1,8,1,1,3,1,3,2,3,3,2,2,1,1,3,2,5,1,1,1,3,3,1,2,2,1,1,1,1,1,3,1,1,1,3,1,3,2,5,201301001,1
50.68314798,2,1,1,1,1,5,5,5,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,3,4,1,3,4,1,1,1,1,1,8,1,3,3,2,2,2,3,2,2,1,1,1,3,1,5,1,2,1,3,1,2,2,2,1,1,1,1,1,3,1,1,1,3,1,3,1,5,201301001,1
50.68314798,2,1,1,1,1,6,5,5,2,1,1,1,,,1,2,,,1,1,1,5,1,1,1,1,3,4,1,1,1,1,1,8,2,3,1,2,2,2,2,1,2,2,1,2,2,2,3,1,2,1,1,1,2,1,2,1,1,1,1,1,4,1,1,1,3,1,4,2,3,201301001,1
50.68314798,2,1,1,1,3,5,5,5,2,1,1,1,2,2,,1,,,1,1,1,1,1,2,2,2,3,4,1,1,1,1,1,4,1,3,2,2,2,2,3,3,2,2,1,1,1,3,5,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,1,1,3,1,1,2,5,201301001,1
50.68314798,2,1,1,1,3,5,5,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,8,1,2,3,2,2,2,3,3,2,2,1,1,3,2,5,1,2,1,2,1,1,2,2,1,1,1,1,1,4,1,1,1,3,1,4,2,,201301001,1
50.68314798,2,1,1,1,3,5,5,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,3,4,1,1,1,1,1,8,1,3,3,1,2,2,3,3,2,2,1,1,3,2,4,1,1,1,2,1,1,1,2,1,1,1,4,1,4,1,1,1,3,1,4,1,4,201301001,1
50.68314798,2,1,1,1,3,5,5,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,3,4,1,1,1,1,1,8,1,1,3,2,2,1,3,3,2,2,1,1,2,3,5,1,1,3,3,3,1,1,2,1,1,1,1,1,4,1,1,1,3,1,2,3,5,201301001,1
50.68314798,2,1,1,2,1,5,5,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,3,4,2,1,1,1,1,8,2,3,2,2,2,3,3,3,,2,1,1,3,3,5,1,1,1,1,1,3,2,2,1,1,1,1,1,2,1,1,1,3,1,2,3,4,201301001,1
50.68314798,2,1,1,2,3,5,4,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,8,2,3,1,2,2,2,3,2,2,2,1,1,2,2,4,1,1,1,2,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,2,2,1,201301001,1
50.68314798,2,1,1,2,3,5,5,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,3,4,1,1,1,1,1,8,2,3,3,2,2,2,3,3,,2,1,1,3,2,5,1,1,1,2,1,1,1,2,1,1,1,1,1,4,1,1,1,3,1,4,3,5,201301001,1
50.68314798,2,1,1,2,3,6,5,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,3,4,1,1,1,1,1,2,2,1,2,1,2,3,3,3,2,2,1,1,4,1,5,1,1,1,1,3,2,2,2,1,1,1,1,1,4,1,1,1,3,1,4,3,5,201301001,1
50.68314798,3,1,1,1,1,2,2,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,3,3,1,1,1,1,1,8,2,3,3,1,2,3,3,3,2,2,1,1,3,2,5,1,1,1,2,1,1,1,2,1,1,1,1,1,3,1,1,1,3,1,3,2,5,201301001,1
50.68314798,3,1,1,1,1,5,4,5,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,2,2,3,4,1,1,1,1,1,7,1,1,2,1,3,2,2,3,2,2,1,1,4,3,5,1,1,1,1,3,1,1,2,1,1,1,1,1,4,1,1,1,3,1,4,1,5,201301001,1
50.68314798,3,1,1,1,1,5,5,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,1,3,4,1,1,1,1,1,8,1,1,3,3,2,3,3,3,2,2,1,1,3,3,5,1,2,1,2,1,1,2,2,1,1,1,1,1,3,1,1,1,3,1,4,3,5,201301001,1
50.68314798,3,1,1,1,1,5,5,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,4,4,1,1,1,1,1,8,2,1,3,2,1,2,2,3,2,2,1,1,4,2,5,1,1,1,2,1,1,2,2,1,1,1,1,1,4,1,1,1,3,1,4,2,5,201301001,1
50.68314798,3,1,1,1,1,5,5,5,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,3,4,1,1,1,1,1,8,2,2,3,2,2,3,3,3,2,2,1,1,3,3,5,1,1,1,2,1,1,2,2,1,1,1,1,1,3,1,1,1,3,1,3,3,5,201301001,1
50.68314798,3,1,1,1,1,5,5,5,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,5,5,2,3,4,1,1,1,1,1,7,2,3,1,2,3,2,3,3,2,2,,1,1,1,5,1,1,1,1,3,2,1,2,1,1,1,1,1,4,1,1,1,3,1,3,1,4,201301001,1
50.68314798,3,1,1,1,3,3,2,5,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,2,2,3,3,1,1,1,1,1,8,2,3,3,3,2,2,2,3,2,2,1,1,4,2,5,1,1,1,1,1,4,1,2,1,1,1,1,1,3,1,1,1,3,1,2,3,,201301001,1
50.68314798,3,1,1,1,3,5,5,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,3,4,1,1,1,1,1,8,1,2,3,1,2,3,3,3,2,2,1,1,3,3,5,1,1,1,3,1,1,1,2,1,1,1,1,1,4,1,1,1,1,1,4,3,5,201301001,1
50.68314798,3,1,1,1,3,5,5,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,1,3,3,1,1,1,1,1,8,1,3,3,1,2,3,3,3,2,2,1,1,1,3,5,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,3,5,201301001,1
50.68314798,3,1,1,1,3,5,5,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,5,5,5,1,2,4,1,1,1,1,1,7,1,1,2,2,1,2,3,3,2,2,1,1,4,2,5,3,1,1,1,1,1,1,2,1,1,1,1,1,4,1,1,1,3,1,4,2,5,201301001,1
50.68314798,3,1,1,1,3,5,5,5,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,2,2,3,3,1,1,1,1,1,7,1,1,2,1,3,2,2,3,2,2,1,1,4,3,5,1,1,1,1,3,1,1,2,1,1,1,1,1,3,1,1,1,3,1,4,1,5,201301001,1
50.68314798,3,1,1,2,1,5,5,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,3,4,1,1,1,1,1,8,1,1,2,2,2,1,3,3,2,2,1,1,2,2,5,1,1,1,2,1,1,1,2,1,1,1,1,1,4,1,1,1,2,1,2,2,5,201301001,1
50.68314798,3,1,1,2,1,5,5,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,3,4,1,1,1,1,1,8,1,3,3,1,2,3,3,3,2,2,1,1,1,3,5,1,1,1,2,1,1,1,2,1,1,1,1,1,4,1,1,1,3,1,1,3,5,201301001,1
50.68314798,3,1,1,2,1,5,5,7,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,3,3,1,1,1,1,1,1,2,3,3,2,2,3,3,3,2,2,1,1,3,2,5,1,1,1,2,1,1,1,2,1,1,1,1,1,4,1,1,1,3,1,3,2,5,201301001,1
50.68314798,3,1,1,2,1,6,6,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,3,2,1,3,4,1,1,1,1,1,7,1,2,2,3,2,2,3,2,2,2,1,1,4,3,5,1,2,1,3,1,1,2,2,1,1,1,1,1,4,1,1,1,1,1,4,3,5,201301001,1
50.68314798,3,1,1,2,3,5,5,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,3,4,1,1,1,1,1,7,1,3,3,3,3,2,3,2,2,2,1,1,3,3,5,1,1,1,3,1,1,2,2,1,1,1,1,1,3,1,1,1,3,1,3,3,5,201301001,1
50.68314798,3,1,1,3,3,5,5,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,3,3,1,3,4,1,1,1,1,1,8,1,2,2,3,3,2,3,3,2,2,1,1,3,2,5,1,1,1,2,1,1,1,2,1,1,1,1,1,4,1,1,1,2,1,3,2,5,201301001,1
50.68314798,3,1,1,4,1,5,5,5,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,3,2,2,4,3,1,1,1,1,1,8,2,3,3,2,2,3,3,3,2,2,1,1,3,3,5,1,2,1,2,3,1,1,2,1,1,1,1,1,3,1,1,1,3,1,4,3,5,201301001,1
50.68314798,3,1,1,5,3,5,5,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,3,2,2,3,4,1,1,1,1,1,7,1,3,2,2,2,2,2,1,1,2,1,1,4,1,4,3,1,1,1,1,2,1,2,1,1,1,1,1,4,1,1,1,2,1,4,1,4,201301001,1
50.68314798,3,1,1,8,3,5,5,5,2,1,1,1,2,2,2,1,2,2,1,1,1,1,5,5,5,2,4,3,1,1,1,1,1,8,1,3,3,2,2,3,3,2,2,2,1,1,3,3,5,3,2,1,3,3,1,1,2,1,1,1,1,1,,3,1,1,3,1,3,3,5,201301001,1
50.68314798,3,1,1,8,3,5,5,5,,1,,3,,,,5,,,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,,,2,2,1,1,1,3,1,1,1,2,2,,1,2,2,2,2,1,1,,2,5,1,2,1,1,1,1,1,2,1,1,1,1,1,201301001,1
50.68314798,4,1,1,2,1,3,2,5,,,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,2,1,1,1,1,8,2,3,1,3,2,3,2,2,2,2,1,2,3,1,2,3,1,2,,3,2,2,,2,4,2,2,4,2,2,3,2,1,3,1,2,3,201301001,1
39.51509481,4,2,3,2,1,4,3,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,4,1,1,1,1,1,8,,3,2,1,2,2,3,3,2,1,1,1,3,2,5,2,2,3,2,1,4,2,2,1,1,1,1,1,4,1,1,1,3,1,3,2,5,201301001,2
39.51509481,4,2,3,3,1,4,3,4,1,5,1,1,1,2,1,1,2,2,2,2,2,1,5,3,3,2,3,4,1,1,1,1,1,7,1,1,1,1,1,2,3,3,2,2,1,1,3,1,1,1,1,3,2,1,3,2,2,1,1,1,1,1,4,1,1,1,3,1,3,1,1,201301001,2
39.51509481,4,2,3,3,1,5,4,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,3,4,1,1,1,1,1,8,2,1,1,2,2,1,1,3,2,2,1,1,1,1,5,1,1,1,1,3,1,2,2,1,1,1,1,1,4,1,1,1,1,1,1,1,5,201301001,2
39.51509481,5,2,3,1,1,3,4,2,2,1,1,1,2,2,1,1,,,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,8,1,2,2,2,2,2,2,3,1,2,1,1,4,3,4,1,1,1,2,3,2,1,2,1,1,1,1,1,4,1,1,1,2,1,3,3,4,201301001,2
39.51509481,5,2,3,1,1,6,6,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,8,1,3,1,2,2,3,3,3,2,2,1,1,3,1,5,2,3,1,3,3,3,1,2,1,1,1,1,1,4,1,1,1,3,1,3,1,5,201301001,2
39.51509481,5,2,3,2,1,3,4,4,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,4,1,1,1,1,1,8,2,1,3,2,1,2,1,3,2,2,1,1,4,2,5,1,1,1,3,1,1,1,2,1,1,1,1,1,4,1,1,1,3,1,4,2,,201301001,2
39.51509481,5,2,3,2,1,4,2,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,3,4,1,1,1,1,1,8,1,1,1,1,1,2,1,3,2,2,1,1,4,1,5,1,1,1,3,1,1,1,2,1,1,1,1,1,4,1,1,1,3,1,1,1,5,201301001,2
39.51509481,5,2,3,2,1,5,3,2,1,6,1,1,1,2,3,2,1,2,2,2,3,6,1,3,5,2,3,2,2,2,7,3,1,8,1,3,1,2,2,2,2,2,1,2,3,3,4,1,3,1,2,2,1,1,3,2,1,5,1,1,2,2,2,1,1,1,1,3,2,1,3,201301001,2
39.51509481,5,2,3,2,2,6,6,4,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,4,4,1,1,1,1,1,8,1,2,1,3,3,2,3,3,2,2,1,1,3,3,5,1,1,1,2,3,2,2,2,1,1,1,1,1,3,1,1,1,1,1,3,3,5,201301001,2
39.51509481,5,2,3,2,3,4,5,3,1,6,1,1,1,2,2,7,2,2,2,2,2,4,1,1,2,2,3,3,1,2,1,1,1,8,2,1,3,3,3,2,3,3,2,2,3,2,2,3,3,1,1,5,3,3,1,1,2,1,1,1,1,1,2,1,1,1,3,2,3,1,3,201301001,2
39.51509481,5,2,3,2,3,5,5,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,3,3,1,1,1,1,1,8,2,1,3,2,2,1,2,3,2,2,1,1,1,1,4,1,1,1,1,3,1,1,2,1,1,1,1,1,2,1,1,1,3,1,2,2,5,201301001,2
39.51509481,5,2,3,3,1,3,3,3,2,1,1,1,2,2,2,1,2,2,1,1,1,1,5,2,1,2,3,4,1,1,1,1,1,8,2,1,2,2,2,2,2,2,2,2,1,1,4,1,5,3,2,2,1,3,1,1,2,1,1,1,1,1,4,1,1,1,3,1,4,1,3,201301001,2
39.51509481,5,2,3,3,2,2,4,7,1,2,1,1,1,2,1,1,2,2,2,2,2,6,5,5,5,2,2,3,2,2,1,1,1,8,2,2,1,2,2,2,3,2,1,2,3,2,2,2,4,3,1,1,1,1,2,2,2,1,1,1,1,1,3,1,1,1,3,2,2,1,3,201301001,2
39.51509481,5,2,3,3,2,6,2,7,1,6,1,1,2,2,1,1,1,2,2,2,3,6,1,1,1,2,3,3,1,1,1,1,1,8,1,1,1,3,3,1,1,2,2,2,2,1,3,1,4,1,1,1,3,3,2,2,2,1,1,1,1,1,3,1,1,1,3,1,3,3,5,201301001,2
39.51509481,5,2,3,3,3,2,3,3,1,4,1,1,1,1,2,2,1,1,2,2,2,6,5,5,5,1,3,4,1,1,6,2,2,6,1,1,1,2,2,3,3,3,2,2,1,1,3,1,5,4,3,3,3,3,2,2,1,1,1,1,1,1,3,1,1,1,3,1,4,2,4,201301001,2
