FinalWgt,CR1,CR2,KWR3,CR4,CR5,KWR6,CR7,CR8,CR9,CR10,CR11,CR12,CR13,CR14,KWR15,CR16,CR17,CR18,CR19,CR20,CR21,CR22,CR23,CR24,CR25,CR26,KWR27,CR28,CR29,CR30,CR31,CR32,CR33,CR34,CR35,CR36,CR37,CR38,CR39,CR40,CR41,CR42,CR43,CR44,CR45,CR46,CR47,CR48,CR49,CR50,CR51,CR52,CR53,CR54,CR55,KWR56,Stratum,PSU
21.38316265,1,5,3,3,2,3,3,1,5,2,2,3,3,3,1,2,2,1,2,2,3,4,4,2,2,1,1,2,3,3,3,4,1,1,1,2,1,2,3,4,2,3,3,2,2,2,2,3,1,3,2,1,1,4,1,2,200901001,1
22.09225198,1,6,2,4,6,2,2,2,1,1,1,1,1,1,1,2,1,1,3,3,2,3,3,2,1,4,2,1,4,6,4,4,4,1,5,2,3,3,3,3,4,4,1,2,2,1,1,1,1,2,2,2,2,5,2,3,200901001,1
22.09225198,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,3,4,4,1,1,1,1,1,3,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,3,1,1,1,7,2,3,200901001,1
22.91836407,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,1,1,1,1,,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,3,3,2,2,2,2,3,2,2,2,5,1,2,200901001,1
22.91836407,1,3,7,5,2,2,3,1,5,2,1,3,3,3,1,2,2,2,3,2,2,4,4,3,2,4,3,2,2,3,4,4,4,,1,,3,3,3,2,2,5,2,2,3,2,1,1,2,3,2,3,3,5,1,2,200901001,1
22.91836407,1,3,7,6,2,8,3,1,4,2,3,2,3,3,3,2,2,1,1,2,2,3,3,3,2,4,,4,6,3,4,3,3,5,4,2,4,4,4,3,,2,2,2,2,2,2,1,2,3,2,1,1,5,1,2,200901001,1
22.91836407,1,4,3,5,2,3,3,1,5,3,3,3,3,3,1,2,2,1,1,2,2,4,4,2,2,4,3,3,3,3,4,3,3,5,,,3,4,3,4,,2,2,3,3,2,1,2,3,2,1,1,2,7,1,2,200901001,1
22.91836407,1,5,1,1,1,1,1,1,5,1,1,6,1,1,3,1,2,2,1,2,3,4,4,2,1,1,3,1,3,1,1,4,4,1,1,1,1,1,1,1,1,1,2,3,2,2,2,2,3,3,2,1,1,4,1,2,200901001,1
22.91836407,1,5,1,1,1,1,1,2,1,1,1,,1,1,1,2,2,2,3,2,2,4,4,,3,1,1,2,3,3,4,4,4,1,5,1,2,3,2,1,1,3,2,4,2,2,2,,,,,,,,,,200901001,1
22.91836407,1,5,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,2,1,1,1,1,3,3,3,4,4,1,3,2,3,3,3,1,1,4,3,3,2,2,2,2,2,4,2,1,1,4,1,2,200901001,1
22.91836407,1,5,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,3,3,2,1,4,4,3,1,1,1,3,2,2,3,4,3,1,1,2,2,1,2,1,1,2,2,3,2,2,3,3,2,1,2,1,1,5,1,2,200901001,1
22.91836407,1,5,6,5,2,3,3,2,1,1,1,1,1,3,1,2,2,1,3,1,3,1,1,4,1,4,,1,5,5,1,1,1,5,5,2,4,4,4,1,1,5,3,2,1,1,1,1,1,1,1,2,2,3,1,2,200901001,1
22.91836407,1,5,7,4,2,2,3,1,5,3,3,3,3,3,1,1,1,1,1,1,3,2,2,3,3,4,4,4,6,5,2,2,2,5,4,2,4,4,3,4,4,3,3,4,2,1,2,1,2,3,1,2,1,4,1,2,200901001,1
22.91836407,1,6,3,4,2,3,3,2,1,1,1,1,1,1,3,2,2,2,2,2,3,4,4,2,1,1,1,1,3,3,4,4,4,1,2,2,2,3,3,1,1,3,2,3,2,2,2,3,2,3,2,1,1,5,1,2,200901001,1
22.91836407,1,6,5,4,5,3,1,2,6,1,1,1,1,3,1,2,2,2,3,3,2,2,1,4,1,4,1,3,4,,2,2,1,2,5,1,4,4,4,1,1,2,3,1,2,2,2,,2,1,,,3,5,1,2,200901001,1
22.91836407,1,6,7,7,4,3,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,4,1,1,1,2,2,2,2,4,4,4,4,1,1,1,2,1,1,1,1,1,1,1,1,1,3,3,,4,2,2,2,5,1,2,200901001,1
22.91836407,2,1,1,1,1,1,1,1,6,2,2,6,1,3,1,2,2,2,2,1,1,3,2,3,2,1,4,1,1,2,4,4,3,2,2,2,1,1,1,3,3,1,2,3,2,2,1,1,2,3,1,2,2,5,1,2,200901001,1
22.91836407,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,4,4,2,2,1,1,1,3,3,3,4,4,2,4,1,1,1,1,1,1,1,1,2,3,2,1,1,1,3,2,1,1,5,1,2,200901001,1
22.91836407,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,4,4,1,1,1,1,1,2,6,4,4,4,1,5,1,1,1,1,1,1,1,1,1,2,2,2,3,3,1,,,,,,,200901001,1
22.91836407,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,3,3,2,1,2,2,2,1,3,3,3,3,2,1,2,1,1,1,1,1,1,2,3,3,,2,2,2,2,2,3,1,1,1,2,200901001,1
22.91836407,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,4,4,1,1,1,1,1,1,3,4,4,4,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,4,2,1,1,5,1,2,200901001,1
22.91836407,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,1,1,1,1,1,1,1,2,4,4,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,3,2,3,3,5,1,2,200901001,1
22.91836407,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,3,3,2,4,4,2,1,1,1,1,1,1,4,4,4,1,2,1,1,1,1,1,1,1,3,4,2,2,3,1,2,1,1,1,1,5,1,2,200901001,1
22.91836407,2,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,2,2,2,2,2,4,4,2,1,1,1,1,2,2,2,4,4,1,1,1,1,1,1,1,1,4,2,3,2,2,2,1,3,3,2,1,1,6,1,2,200901001,1
22.91836407,2,1,1,1,1,1,1,2,1,1,1,1,1,3,1,2,2,2,1,1,2,4,4,2,1,1,1,1,3,3,2,3,4,5,3,1,1,1,1,1,1,1,2,3,3,2,3,3,3,3,2,1,1,5,1,2,200901001,1
22.91836407,2,1,1,1,1,1,1,2,1,1,1,1,1,3,1,2,2,2,2,2,2,4,4,1,1,1,1,1,3,2,4,4,4,2,1,2,1,1,1,1,1,1,2,3,3,2,3,3,3,1,2,1,2,4,1,2,200901001,1
22.91836407,2,1,1,1,1,1,1,2,1,1,1,1,1,3,1,2,2,2,2,2,3,4,4,2,1,1,1,1,1,1,3,4,3,4,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,3,2,3,1,5,1,2,200901001,1
22.91836407,2,1,1,1,1,1,1,2,1,1,1,1,1,3,1,2,2,2,2,2,3,4,4,2,1,1,1,1,1,1,4,3,3,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,1,4,1,2,200901001,1
22.91836407,2,1,1,1,1,1,1,2,1,1,1,1,1,3,3,2,2,1,2,3,2,4,4,1,3,3,3,2,2,3,4,3,4,2,2,1,1,1,1,1,1,1,3,3,3,2,2,3,1,2,1,1,1,4,1,2,200901001,1
23.08710947,2,1,1,1,1,1,1,1,5,2,2,2,1,3,1,1,2,2,2,1,2,4,2,3,1,1,3,2,1,1,3,2,2,1,1,2,1,1,1,2,2,1,2,3,3,2,2,3,3,1,2,2,2,3,2,2,200901001,1
23.37322546,1,3,1,1,1,1,1,1,6,1,1,6,1,3,4,1,1,3,2,2,1,4,4,3,3,3,3,1,2,2,4,4,4,5,2,1,2,2,2,2,2,5,3,3,2,2,2,1,1,3,2,2,2,6,1,1,200901001,1
23.37322546,1,4,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,3,4,4,2,1,2,1,2,3,1,4,4,4,2,1,1,2,1,4,1,1,5,3,3,2,1,2,1,2,3,1,2,2,4,1,1,200901001,1
23.37322546,1,6,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,3,4,4,2,1,1,1,1,1,1,4,4,4,1,2,2,2,2,2,1,1,4,3,3,2,2,1,1,2,1,2,2,2,5,1,1,200901001,1
23.37322546,1,6,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,3,4,4,2,1,1,1,1,1,3,4,4,4,1,1,2,2,2,1,1,1,1,3,4,2,2,2,2,3,4,2,2,1,4,1,1,200901001,1
23.37322546,1,6,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,3,1,1,3,4,4,2,1,3,1,3,1,3,3,4,4,1,1,1,2,3,2,1,1,6,2,4,2,2,1,1,1,3,2,2,2,4,1,1,200901001,1
23.37322546,1,6,7,4,5,3,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,4,4,1,4,1,4,5,2,4,1,1,1,5,2,4,4,3,1,4,5,1,3,3,2,2,1,3,3,2,1,3,5,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,3,4,4,2,2,1,1,2,3,3,2,3,3,1,2,1,1,1,1,1,1,1,2,3,2,2,2,3,2,1,1,2,2,3,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,1,1,1,1,1,3,3,4,4,4,1,1,1,1,1,1,1,1,1,2,3,2,2,2,3,2,3,2,1,1,4,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2,2,2,2,4,4,2,1,1,1,1,3,3,4,4,1,1,5,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,3,3,4,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,1,2,1,1,2,1,3,1,2,2,2,3,3,2,4,4,1,2,1,1,1,2,1,4,4,4,3,2,1,1,1,1,1,1,1,2,3,2,1,2,3,3,3,2,3,1,4,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,2,3,3,1,2,2,1,2,2,3,2,4,6,4,4,4,4,1,2,2,1,1,1,2,1,1,3,4,2,2,3,3,3,4,1,2,2,6,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,1,5,2,1,3,1,1,1,1,1,2,2,2,1,4,4,1,1,1,1,2,1,1,4,3,3,3,5,1,3,3,3,2,2,3,1,3,3,2,2,2,2,1,2,1,1,4,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,3,4,4,2,1,1,1,1,3,3,3,4,4,1,1,1,1,1,1,1,1,1,2,3,2,2,3,3,2,3,2,2,3,5,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,3,4,4,3,2,1,1,2,2,3,2,4,4,2,1,1,1,1,1,1,1,1,2,3,1,2,1,1,2,1,1,3,2,4,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,3,4,3,,1,1,1,1,1,2,3,4,3,1,2,1,1,1,1,1,1,1,2,1,2,2,2,3,3,1,2,2,2,6,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,4,4,1,1,1,1,1,1,1,1,4,4,1,3,1,1,1,1,1,1,1,1,3,2,1,2,3,3,4,2,2,2,3,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,3,4,4,2,1,1,1,3,3,3,4,4,3,3,5,1,1,1,1,1,1,1,2,3,2,2,2,2,2,3,2,1,1,4,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,4,4,1,1,1,1,1,1,1,2,4,4,1,3,1,1,2,1,1,1,1,2,3,2,2,2,2,3,3,2,2,2,4,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,1,1,1,1,1,1,1,2,4,4,1,2,1,1,1,1,1,1,1,2,3,3,2,2,2,2,4,2,3,3,5,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,1,1,1,1,1,3,3,4,4,4,1,1,2,1,1,1,1,1,1,2,3,2,2,2,3,3,3,2,2,2,4,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,1,1,2,2,2,3,3,3,3,3,5,5,1,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,3,3,3,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,2,1,1,1,1,1,1,3,2,2,2,4,1,1,1,1,1,1,1,2,3,2,2,2,2,2,3,2,1,1,5,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,3,4,4,1,1,1,1,1,2,2,2,4,4,1,1,1,1,1,1,1,1,1,2,1,2,2,3,2,3,1,2,3,3,4,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,3,4,4,1,1,1,1,1,3,3,2,4,4,1,1,1,1,1,1,1,1,1,2,3,2,2,2,1,3,3,2,2,1,5,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,3,3,3,3,4,2,1,1,2,3,2,1,3,3,3,1,2,2,1,1,1,1,1,1,3,3,3,2,2,2,2,3,,2,3,3,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,3,3,3,4,4,1,1,1,1,1,1,1,3,4,4,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,3,2,1,1,3,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,2,2,2,2,3,4,4,1,1,1,1,1,1,1,4,4,4,2,5,1,1,1,1,1,1,1,1,2,2,2,1,3,3,4,2,2,2,2,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,3,3,2,1,4,4,2,1,1,1,1,3,3,4,4,4,2,1,1,1,1,1,1,1,1,2,3,2,2,2,2,2,3,2,3,1,4,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,2,1,1,1,1,1,3,1,2,2,2,3,3,1,4,4,2,1,1,1,1,3,3,4,4,4,2,1,1,1,1,1,1,1,1,2,3,3,2,1,2,1,3,2,2,1,3,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,2,1,1,1,1,1,3,1,2,2,2,3,3,3,4,4,1,1,1,1,1,3,2,4,4,3,3,1,1,1,1,1,1,1,1,3,1,2,2,2,2,2,3,2,1,3,3,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,2,1,1,1,1,1,3,3,2,1,2,1,3,,1,4,1,1,1,1,1,3,4,4,4,4,5,5,1,1,1,1,1,1,1,3,3,2,1,2,2,1,1,2,2,1,4,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,2,1,1,1,1,1,3,5,1,2,1,1,2,1,4,4,1,1,1,1,3,3,3,4,4,4,1,1,1,1,1,1,1,1,4,2,1,2,2,3,3,1,1,2,2,2,5,1,1,200901001,1
23.37322546,2,1,1,1,1,1,1,2,1,1,1,1,1,5,1,2,2,2,2,3,3,4,4,2,1,1,1,1,2,3,4,4,4,1,5,1,1,1,1,1,1,1,2,3,2,2,2,3,3,3,2,2,3,4,1,1,200901001,1
23.67836238,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,4,4,2,2,1,4,4,4,6,4,1,,1,5,2,2,4,3,4,4,4,3,4,2,1,3,3,3,4,1,2,2,7,2,3,200901001,1
23.67836238,,,,7,6,7,1,1,7,3,3,2,1,5,5,2,1,2,1,3,1,4,4,4,4,4,4,4,6,6,1,1,1,5,5,2,4,4,4,4,4,4,1,3,3,1,1,1,1,1,1,2,2,1,2,3,200901001,1
24.74464553,,,,2,2,3,3,2,5,2,3,5,2,1,1,2,2,1,3,2,2,4,2,2,1,3,3,3,1,3,3,3,4,3,5,2,2,3,3,2,2,4,3,3,2,2,2,2,2,2,2,2,2,4,2,2,200901001,1
25.05130319,2,1,1,1,1,1,1,1,7,2,2,2,3,3,3,1,2,2,1,1,3,4,2,2,2,1,3,2,3,3,3,4,2,4,5,,2,3,1,4,3,1,3,2,2,2,1,1,1,2,2,3,2,,,1,200901001,1
25.49818232,2,1,1,1,1,,1,1,1,1,1,1,1,3,,1,2,2,2,2,2,,,1,2,,1,1,,5,,4,2,1,2,,,1,2,,1,2,,,,,,,3,,,1,,,,1,200901001,1
25.49818232,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,1,1,1,1,1,3,3,4,4,4,1,,1,2,1,4,4,5,2,3,2,2,1,1,3,2,,1,1,,,1,200901001,1
26.99415876,1,5,6,5,2,5,2,1,2,2,4,3,3,3,3,1,1,1,1,1,2,1,1,2,2,1,3,1,1,1,1,2,3,1,1,2,2,1,2,2,2,2,1,3,1,2,2,2,1,1,1,1,1,2,2,2,200901001,1
27.32869439,1,,,,5,3,1,,1,1,3,1,2,1,1,2,2,2,2,2,2,4,4,2,1,1,1,1,1,3,1,1,1,1,3,,3,3,3,3,,3,3,4,2,1,3,3,3,1,2,1,1,4,1,1,200901001,1
27.32869439,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,4,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,3,3,3,3,,2,2,5,1,1,200901001,1
27.32869439,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,3,4,4,,1,1,1,1,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,3,2,1,1,4,1,1,200901001,1
27.32869439,1,1,1,1,1,3,1,1,1,1,1,1,2,3,1,1,1,2,2,3,2,4,4,1,1,2,2,2,1,2,4,4,4,1,1,2,1,2,1,1,2,1,2,2,1,2,2,1,1,1,1,2,1,4,1,1,200901001,1
27.32869439,1,5,1,1,1,1,1,2,2,1,1,1,1,3,1,1,2,2,3,2,2,4,4,1,1,1,1,1,3,3,4,4,4,3,1,1,2,2,2,1,1,4,3,3,3,2,2,3,3,3,2,3,2,5,1,1,200901001,1
27.32869439,2,1,,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,4,4,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,3,3,2,1,1,4,1,1,200901001,1
27.32869439,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,4,4,1,1,1,,1,3,3,4,3,4,1,1,2,1,1,1,1,1,1,3,3,2,2,1,3,3,3,2,2,2,3,1,1,200901001,1
27.32869439,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,1,1,2,2,2,3,3,2,4,4,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,3,1,2,3,2,3,1,1,200901001,1
27.32869439,2,1,1,1,1,1,1,1,5,2,1,2,1,1,1,2,1,2,2,2,2,3,4,2,2,1,1,1,2,1,2,1,1,1,4,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,,,5,1,1,200901001,1
27.32869439,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,3,4,3,3,3,1,1,1,2,2,3,4,3,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,3,2,5,1,1,200901001,1
27.32869439,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,3,4,4,1,1,1,1,1,3,3,4,4,4,1,1,1,1,1,1,1,1,1,2,1,2,2,1,3,3,3,2,1,3,4,1,1,200901001,1
27.32869439,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,3,4,4,2,1,1,1,2,3,3,1,4,4,1,1,2,1,1,1,1,1,4,3,2,2,2,1,2,3,2,2,2,2,6,1,1,200901001,1
27.32869439,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2,4,4,1,1,2,2,1,2,1,2,2,1,1,1,2,2,2,1,2,2,1,1,1,2,1,1,2,2,2,1,2,2,6,1,1,200901001,1
27.32869439,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,4,1,1,1,1,1,3,2,3,1,4,1,1,1,1,1,1,1,1,1,1,4,4,2,2,2,3,4,2,2,2,5,1,1,200901001,1
27.32869439,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,1,1,2,2,2,1,1,4,4,4,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,4,2,2,1,5,1,1,200901001,1
27.32869439,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,2,1,1,1,1,3,3,4,4,4,5,5,1,1,1,1,1,1,1,1,3,2,2,2,1,2,3,2,2,2,5,1,1,200901001,1
27.32869439,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,3,4,3,1,1,1,1,3,3,1,3,3,3,1,1,1,1,1,1,1,1,1,2,1,3,2,2,2,1,3,2,3,2,5,1,1,200901001,1
27.32869439,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,3,4,4,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,2,3,1,2,3,3,3,3,2,1,2,3,1,1,200901001,1
27.32869439,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,3,4,4,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,200901001,1
27.32869439,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,3,3,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,4,3,4,4,2,3,3,3,4,2,2,2,3,1,1,200901001,1
27.32869439,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,4,4,1,1,1,1,1,3,3,4,4,4,1,1,2,1,1,1,1,1,1,1,2,1,2,3,2,2,1,2,3,3,6,1,1,200901001,1
27.32869439,2,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,2,2,2,3,4,4,2,1,1,1,1,3,3,4,4,4,5,3,1,1,1,1,1,1,1,1,2,2,,1,3,,2,2,2,2,3,1,1,200901001,1
27.32869439,2,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,2,2,2,2,3,4,4,1,1,2,2,2,2,2,2,4,2,3,1,1,4,4,4,4,4,6,3,4,2,2,3,3,1,2,2,2,2,4,1,1,200901001,1
27.32869439,2,1,1,1,1,1,1,2,1,1,1,1,1,3,1,2,2,2,2,2,3,4,4,1,1,1,1,1,1,3,3,3,3,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,4,1,1,200901001,1
27.32869439,2,1,1,1,1,1,1,2,1,1,1,1,1,3,1,2,2,3,3,3,3,4,4,1,1,1,1,1,1,1,4,4,4,2,1,1,1,1,1,1,1,1,2,1,3,2,3,3,2,1,2,3,2,3,1,1,200901001,1
27.32869439,2,1,1,1,1,1,3,1,6,2,2,2,3,3,3,2,2,2,2,2,2,4,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,3,3,,,1,200901001,1
27.32869439,2,1,1,1,2,4,1,2,2,3,,3,1,1,1,1,,,1,1,1,2,4,3,1,4,2,2,2,2,4,4,4,2,5,1,1,1,1,1,1,1,3,2,3,2,2,2,2,3,1,2,1,4,1,1,200901001,1
31.60759944,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,3,4,4,2,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,1,2,3,2,2,2,2,2,3,1,3,3,7,1,3,200901001,1
24.45126601,1,1,1,1,1,1,2,1,7,5,3,5,2,3,3,1,1,2,3,1,3,2,2,3,3,4,2,2,1,1,2,1,3,4,4,1,3,1,4,3,3,3,1,2,2,1,,3,1,3,1,2,2,3,2,3,200901001,2
33.58335717,1,2,6,4,2,2,2,1,3,1,1,6,1,1,3,2,2,3,3,2,2,4,4,2,2,3,2,4,3,1,2,3,2,3,2,2,,3,,4,1,1,3,3,2,1,2,2,2,1,2,,,5,1,3,200901001,2
33.58335717,1,3,1,1,1,1,1,1,6,1,1,3,1,1,3,2,2,2,2,2,1,4,4,1,1,1,1,1,1,1,4,4,4,1,1,1,2,2,2,1,1,5,3,3,2,2,2,2,3,1,2,1,1,6,1,3,200901001,2
33.58335717,1,3,4,4,5,5,1,2,1,1,1,1,1,3,1,2,2,2,3,3,3,3,4,2,2,3,1,3,3,1,4,3,3,2,2,1,1,3,3,1,1,5,2,2,3,1,2,2,2,1,2,3,3,7,1,3,200901001,2
33.58335717,1,3,4,6,2,3,3,1,3,2,2,3,3,1,1,1,1,3,2,1,2,4,4,3,2,3,3,3,3,3,3,4,4,1,3,1,3,3,3,3,3,5,3,3,3,2,2,1,3,4,2,1,3,6,1,3,200901001,2
33.58335717,1,4,2,5,2,2,3,1,4,2,2,3,3,3,3,2,2,2,3,3,,2,2,2,2,3,3,3,2,2,3,3,3,5,2,,2,3,2,2,3,2,2,3,,,2,3,3,2,,2,2,5,1,3,200901001,2
33.58335717,1,5,1,1,1,1,1,1,5,1,1,3,1,1,1,1,1,2,2,2,2,4,4,2,2,1,1,1,3,3,4,4,4,1,2,1,2,2,2,2,2,4,3,2,2,2,2,2,2,2,2,1,1,6,1,3,200901001,2
33.58335717,1,5,1,1,1,1,1,1,5,1,1,6,1,1,3,1,1,3,2,2,2,4,4,3,2,1,1,1,3,,3,4,4,5,3,1,2,3,2,1,1,4,2,2,2,2,3,2,3,3,2,1,2,5,1,3,200901001,2
33.58335717,1,5,2,2,1,1,2,2,1,1,1,1,1,3,3,1,1,2,2,2,2,4,4,2,2,2,1,2,3,3,4,4,4,3,3,1,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,1,2,6,1,3,200901001,2
33.58335717,1,5,7,5,2,3,3,2,1,1,1,1,1,3,1,2,2,3,2,2,3,4,4,4,1,1,1,1,3,3,4,4,4,1,5,1,4,3,3,1,1,3,3,2,3,2,2,1,2,1,2,1,3,5,1,3,200901001,2
33.58335717,1,5,7,7,5,3,3,1,6,2,5,3,3,1,3,2,2,3,3,2,3,4,2,3,2,3,4,2,1,6,3,4,1,1,5,2,2,4,4,4,4,2,3,2,2,2,2,1,1,3,1,3,1,6,1,,200901001,2
33.58335717,1,6,1,1,1,1,1,1,6,2,2,3,3,1,3,1,2,2,3,3,2,4,4,2,2,3,3,3,3,3,3,4,4,4,2,2,2,2,3,1,1,1,1,3,2,2,2,2,1,3,2,1,1,6,1,3,200901001,2
33.58335717,1,6,1,1,1,1,1,2,7,1,1,1,3,3,3,2,2,3,1,1,1,4,4,3,3,2,2,2,3,3,3,4,4,3,5,1,2,1,1,1,1,1,1,3,2,2,2,1,1,3,2,1,1,5,1,3,200901001,2
